ëÅEEPROM
Saved flight state: 0
Saved baseline: 988.13
TIME,TEMPERATURE, PRESSURE, ALTITUDE, LATITUDE, LONGITUDE, ANGLE, GPS_ALTX, Y, Z, SWC, SWP, TURN, FLIGHT_STATE
107280,18.00,990.26,-0.60,34.7259025,86.6397781,0.0000000,199.00,5.2500,88.2500,178.2500,1,1,2,0
108401,18.00,990.27,-0.69,34.7259025,86.6397628,0.0000000,198.50,5.2500,88.1875,178.1875,1,1,2,0
109293,18.00,990.26,-0.60,34.7259101,86.6397628,0.0000000,198.50,5.0625,87.8750,178.0625,1,1,2,0
110394,18.00,990.27,-0.69,34.7259140,86.6397628,0.0000000,198.70,4.7500,87.3125,177.7500,1,1,2,0
111469,18.00,990.23,-0.34,34.7259178,86.6397781,0.0000000,199.10,4.7500,87.3125,177.7500,1,1,2,0
112545,18.00,990.26,-0.60,34.7259178,86.6397781,0.0000000,199.40,4.7500,87.3125,177.7500,1,1,2,0
113620,18.00,990.27,-0.69,34.7259178,86.6397781,0.0000000,199.70,5.0000,87.8125,178.0000,1,1,2,0
114696,18.00,990.29,-0.86,34.7259254,86.6397781,0.0000000,199.90,5.2500,88.1875,178.2500,1,1,2,0
115771,18.10,990.30,-0.94,34.7259254,86.6397781,0.0000000,200.10,5.1875,88.1250,178.1875,1,1,2,0
116290,18.00,990.19,0.00,34.7259292,86.6397933,0.0000000,200.40,4.8750,87.7500,177.8750,1,1,2,0
117363,18.00,990.20,-0.09,34.7259292,86.6397933,0.0000000,200.80,5.6875,87.8750,178.1875,1,1,2,0
118438,18.00,990.28,-0.77,34.7259292,86.6397933,0.0000000,201.10,3.8750,88.1250,178.1875,1,1,2,0
119236,18.00,990.23,-0.34,34.7259330,86.6397933,0.0000000,201.60,3.5625,87.9375,178.0000,1,1,2,0
120327,18.00,990.25,-0.51,34.7259330,86.6397933,0.0000000,202.10,4.2500,88.5000,1.4375,1,1,2,0
121400,18.10,990.28,-0.77,34.7259330,86.6397933,0.0000000,202.80,3.0000,88.0000,178.0000,1,1,2,0
122476,18.00,990.25,-0.51,34.7259407,86.6398086,0.0000000,203.40,2.5625,88.1250,178.1250,1,1,2,0
123551,18.00,990.18,0.09,34.7259483,86.6398086,0.0000000,203.90,1.5625,87.3125,2.6250,1,1,2,0
124624,18.00,990.15,0.34,34.7259521,86.6398086,0.0000000,204.30,0.7500,87.8750,177.8750,1,1,2,0
125700,18.00,990.11,0.68,34.7259597,86.6398086,0.0000000,204.60,0.6250,87.8750,177.9375,1,1,2,0
126775,18.00,990.20,-0.09,34.7259635,86.6398086,0.0000000,205.00,0.0625,87.3125,177.3125,1,1,2,0
127849,18.00,990.16,0.26,34.7259674,86.6398086,0.0000000,205.20,356.4375,86.8750,3.0625,1,1,2,0
128924,18.00,990.14,0.43,34.7259674,86.6398086,0.0000000,205.30,353.1875,86.5625,176.5625,1,1,2,0
130001,18.00,990.15,0.34,34.7259712,86.6398086,0.0000000,205.70,351.0000,86.2500,176.2500,1,1,2,0
131143,18.00,990.12,0.60,34.7259712,86.6398239,0.0000000,206.30,350.7500,86.3125,176.3750,1,1,2,0
132238,18.00,990.05,1.19,34.7259712,86.6398239,0.0000000,206.50,342.8125,85.6250,175.6875,1,1,2,0
133313,18.00,990.10,0.77,34.7259674,86.6398086,0.0000000,207.10,342.4375,85.1250,4.8125,1,1,2,0
134388,18.00,990.08,0.94,34.7259674,86.6398086,0.0000000,207.20,344.2500,86.2500,176.3125,1,1,2,0
